object  poly  vert  cell_x  cell_z  ob_type  cell_cnt

0        0      0      7        1        143         0
0        0      1      6        1        143         1
0        0      2      7        2        143         2
0        1      0      6        2        143         3
0        4      2      7        3        143         4
0        5      0      6        3        143         5
0        8      2      7        4        143         6
0        9      0      6        4        143         7
0        14      2      7        5        143         8
0        15      0      6        5        143         9
0        18      2      7        6        143         10
0        19      0      6        6        143         11
0        22      2      7        7        143         12
0        23      0      6        7        143         13
0        72      0      8        1        143         14
0        72      2      8        2        143         15
0        76      2      8        3        143         16
0        80      2      8        4        143         17
0        86      2      8        5        143         18
0        90      2      8        6        143         19
0        94      2      8        7        143         20
0        120      0      9        1        143         21
0        120      2      9        2        143         22
0        124      2      9        3        143         23
0        128      2      9        4        143         24
0        134      2      9        5        143         25
0        138      2      9        6        143         26
0        142      2      9        7        143         27
0        168      0      10        1        143         28
0        168      2      10        2        143         29
0        172      2      10        3        143         30
0        176      2      10        4        143         31
0        182      2      10        5        143         32
0        186      2      10        6        143         33
0        190      2      10        7        143         34
0        240      0      11        1        143         35
0        240      2      11        2        143         36
0        244      2      11        3        143         37
0        248      2      11        4        143         38
0        254      2      11        5        143         39
0        258      2      11        6        143         40
0        262      2      11        7        143         41

1        0      0      9        2        131         0

2        0      0      9        3        6         0

3        0      0      9        3        35         0

4        0      0      9        3        172         0

5        0      0      9        4        47         0
5        2      0      8        4        47         1
5        4      2      9        3        47         2
5        5      3      8        3        47         3

6        0      0      8        4        58         0
6        0      1      9        4        58         1

7        0      0      8        2        105         0
7        0      2      8        3        105         1

8        0      0      8        3        105         0

9        0      0      8        4        105         0

10        0      0      12        4        46         0
10        4      1      12        3        46         1
10        6      0      12        5        46         2
10        8      2      11        3        46         3
10        8      3      11        4        46         4
10        11      3      11        5        46         5
10        12      0      13        5        46         6
10        12      1      13        4        46         7
10        15      1      13        3        46         8


(cx=0, cz=0) count= 0
(cx=0, cz=1) count = 0
(cx=0, cz=2) count = 0
(cx=0, cz=3) count = 0


260

